
Image Name                     PID Session Name        Session#    Mem Usage
opera.exe                     6192 Console                    1     16,672 K
opera.exe                    10296 Console                    1     17,140 K
opera.exe                    10452 Console                    1     67,972 K
opera.exe                    10872 Console                    1     18,460 K
opera.exe                    10880 Console                    1     19,220 K
opera.exe                    10976 Console                    1     32,792 K
opera.exe                    11088 Console                    1     17,500 K
chrome.exe                   11104 Console                    1     86,308 K
opera.exe                    10152 Console                    1     31,760 K
chrome.exe                   11168 Console                    1      7,044 K
chrome.exe                   11416 Console                    1     25,064 K
chrome.exe                   11464 Console                    1     34,312 K
chrome.exe                   11660 Console                    1     16,164 K
chrome.exe                    5344 Console                    1     12,544 K
chrome.exe                   12308 Console                    1     46,520 K
chrome.exe                   12316 Console                    1     44,428 K
chrome.exe                   12324 Console                    1     19,304 K
chrome.exe                   12344 Console                    1     35,840 K
chrome.exe                   12376 Console                    1     36,248 K
chrome.exe                   12584 Console                    1     10,856 K
chrome.exe                   12844 Console                    1     28,072 K
chrome.exe                   12980 Console                    1     32,716 K
chrome.exe                   13140 Console                    1     14,040 K
chrome.exe                   13304 Console                    1     31,864 K
chrome.exe                   12004 Console                    1     75,752 K
chrome.exe                   12968 Console                    1     31,324 K
chrome.exe                   13108 Console                    1     26,188 K
chrome.exe                   13292 Console                    1     53,904 K
chrome.exe                   13428 Console                    1     31,624 K
chrome.exe                   13516 Console                    1     19,744 K
svchost.exe                  14036 Services                   0      6,192 K
chrome.exe                   14076 Console                    1     18,268 K
chrome.exe                   14140 Console                    1     13,000 K
chrome.exe                   13440 Console                    1     20,152 K
svchost.exe                  10156 Services                   0      7,608 K
Microsoft.Management.Serv     4080 Services                   0     39,224 K
dllhost.exe                  10812 Console                    1     11,860 K
SgrmBroker.exe               13364 Services                   0      7,900 K
svchost.exe                  13636 Services                   0      6,836 K
uhssvc.exe                   13224 Services                   0     18,760 K
svchost.exe                   7104 Services                   0      9,916 K
svchost.exe                  12120 Console                    1     12,356 K
chrome.exe                   13060 Console                    1     34,232 K
svchost.exe                   2324 Services                   0     21,112 K
SystemSettings.exe            2768 Console                    1      1,968 K
ApplicationFrameHost.exe      1312 Console                    1     33,824 K
opera.exe                     4720 Console                    1     72,332 K
SettingSyncHost.exe           4448 Console                    1      5,500 K
rundll32.exe                  2528 Console                    1      9,180 K
LockApp.exe                   5588 Console                    1     35,428 K
RuntimeBroker.exe             5660 Console                    1     22,660 K
YourPhoneServer.exe           2420 Console                    1     35,692 K
opera.exe                     4220 Console                    1    149,404 K
svchost.exe                   1168 Services                   0     10,256 K
svchost.exe                  12096 Services                   0     10,928 K
opera.exe                     4712 Console                    1    127,676 K
opera.exe                     6856 Console                    1     41,216 K
taskhostw.exe                 7744 Console                    1      9,512 K
Code.exe                      6436 Console                    1     88,144 K
Code.exe                     13972 Console                    1     24,732 K
Code.exe                     12340 Console                    1    130,820 K
Code.exe                      7308 Console                    1     36,132 K
Code.exe                     11012 Console                    1    182,700 K
Code.exe                      6828 Console                    1     91,156 K
Code.exe                     10996 Console                    1     94,076 K
Code.exe                      2584 Console                    1     51,476 K
Code.exe                      9152 Console                    1     50,232 K
SearchProtocolHost.exe        1436 Services                   0     15,908 K
Code.exe                     13016 Console                    1     54,564 K
Code.exe                     13968 Console                    1     47,856 K
svchost.exe                  11628 Services                   0      7,488 K
audiodg.exe                   9652 Services                   0     17,940 K
pacjsworker.exe               5248 Services                   0      4,488 K
SearchProtocolHost.exe       11260 Console                    1      8,492 K
WmiPrvSE.exe                  1472 Services                   0     11,004 K
smartscreen.exe              10896 Console                    1     23,072 K
cmd.exe                       8568 Console                    1      4,748 K
conhost.exe                   6352 Console                    1     16,124 K
tasklist.exe                 14180 Console                    1      9,052 K
